[00:02:36] INFO: === ЗАПУСК МОДЕЛИРОВАНИЯ СМО M/M/3 ===
[00:02:36] INFO: t=19.22 | Заявка #90 поступила.
[00:02:36] INFO: t=19.22 | Заявка #90 направлена на Прибор #2.
[00:02:36] INFO: t=19.23 | Заявка #88 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=19.48 | Заявка #91 поступила.
[00:02:36] INFO: t=19.48 | Заявка #91 направлена на Прибор #1.
[00:02:36] INFO: t=19.64 | Заявка #90 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=20.23 | Заявка #91 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=20.31 | Заявка #92 поступила.
[00:02:36] INFO: t=20.31 | Заявка #92 направлена на Прибор #1.
[00:02:36] INFO: t=20.38 | Заявка #92 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=20.42 | Заявка #93 поступила.
[00:02:36] INFO: t=20.42 | Заявка #93 направлена на Прибор #1.
[00:02:36] INFO: t=20.69 | Заявка #93 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=20.81 | Заявка #94 поступила.
[00:02:36] INFO: t=20.81 | Заявка #94 направлена на Прибор #1.
[00:02:36] INFO: t=20.85 | Заявка #95 поступила.
[00:02:36] INFO: t=20.85 | Заявка #95 направлена на Прибор #2.
[00:02:36] INFO: t=20.96 | Заявка #96 поступила.
[00:02:36] INFO: t=20.96 | Заявка #96 направлена на Прибор #3.
[00:02:36] INFO: t=21.00 | Заявка #94 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=21.02 | Заявка #97 поступила.
[00:02:36] INFO: t=21.02 | Заявка #97 направлена на Прибор #1.
[00:02:36] INFO: t=21.14 | Заявка #98 поступила.
[00:02:36] WARNING: t=21.14 | ОТКАЗ! Все приборы (3) заняты. Заявка #98 потеряна.
[00:02:36] INFO: t=21.18 | Заявка #96 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=21.25 | Заявка #95 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=21.30 | Заявка #99 поступила.
[00:02:36] INFO: t=21.30 | Заявка #99 направлена на Прибор #2.
[00:02:36] INFO: t=21.33 | Заявка #99 завершила обслуживание на Приборе #2. Прибор свободен.
[00:02:36] INFO: t=22.73 | Заявка #97 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=22.75 | Заявка #100 поступила.
[00:02:36] INFO: t=22.75 | Заявка #100 направлена на Прибор #1.
[00:02:36] INFO: t=23.44 | Заявка #101 поступила.
[00:02:36] INFO: t=23.44 | Заявка #101 направлена на Прибор #2.
[00:02:36] INFO: t=23.82 | Заявка #102 поступила.
[00:02:36] INFO: t=23.82 | Заявка #102 направлена на Прибор #3.
[00:02:36] INFO: t=23.94 | Заявка #102 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=23.95 | Заявка #100 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=23.95 | Заявка #103 поступила.
[00:02:36] INFO: t=23.95 | Заявка #103 направлена на Прибор #1.
[00:02:36] INFO: t=24.05 | Заявка #104 поступила.
[00:02:36] INFO: t=24.05 | Заявка #104 направлена на Прибор #3.
[00:02:36] INFO: t=24.09 | Заявка #104 завершила обслуживание на Приборе #3. Прибор свободен.
[00:02:36] INFO: t=24.11 | Заявка #103 завершила обслуживание на Приборе #1. Прибор свободен.
[00:02:36] INFO: t=24.15 | Заявка #105 поступила.
[00:02:36] INFO: t=24.15 | Заявка #105 направлена на Прибор #1.
[00:02:36] INFO: t=24.21 | Заявка #106 поступила.
[00:02:36] INFO: t=24.21 | Заявка #106 направлена на Прибор #3.
[00:02:36] INFO: t=24.33 | Заявка #107 поступила.
[00:02:36] WARNING: t=24.33 | ОТКАЗ! Все приборы (3) заняты. Заявка #107 потеряна.
[00:02:36] INFO: t=24.96 | Заявка #108 поступила.
[00:02:36] WARNING: t=24.96 | ОТКАЗ! Все приборы (3) заняты. Заявка #108 потеряна.
[00:02:36] INFO: t=25.12 | Заявка #109 поступила.
[00:02:36] WARNING: t=25.12 | ОТКАЗ! Все приборы (3) заняты. Заявка #109 потеряна.
[00:02:36] INFO: t=25.16 | Заявка #110 поступила.
[00:02:36] WARNING: t=25.16 | ОТКАЗ! Все приборы (3) заняты. Заявка #110 потеряна.
[00:02:36] INFO: t=25.18 | Заявка #101 завершила обслуживание на Приборе #2. Прибор свободен.
